TIPLOC,Geography Description
CKHL,Corkerhill Glasgow
WEST536,Westerton Jn Sig Yh536
DUFRYNW,Duffryn West
WEST533,Westerton Sig Yh533
CKHLCSD,Corkerhill Carr Servicing Dept
HYNDLWJ,Hyndland West Junction
BSDN,Bearsden
KENISHD,Kennishead Glasgow
CKHLCSJ,Corkerhill Depot Jn
JORDANH,Jordanhill Glasgow
ANSL,Anniesland Glasgow
ANSL3,Anniesland Platform 3
FDRTYIB,Fodderty I.B.
BYNEA,Bynea
WESTRTN,Westerton
WEST530,Westerton Sig Yh530
HYNDLNJ,Hyndland North Junction
HYNDLEJ,Hyndland East Junction
HLFT,Hillfoot
THLB,Thornliebank
WTCR,Whitecraigs
BUSBYJ,Busby Jn
DINGWCE,Ce North Dingwall P-Way Insp.
PTCKCE,Ce Siding
HYNDLDL,Hyndland Loop
HYNDLND,Hyndland
DAWSHLM,Kelvindale
BRNSTPL,Barnstaple
PTCK,Partick
MLGV,Milngavie
DUMBRCK,Dumbreck
MINFORD,Minffordd
MINFFR,Minffordd (Ffestiniog Rlwy)
FNSTNWJ,West Jn
MRYHPKJ,Glasgow Maryhill Park
MRYHILL,Maryhill
ACHILCK,Auchinleck
MLDONQ,Meldon Quarry
LLGNNCH,Llangennech
GIFNOCK,Giffnock
TONFNAU,Tonfanau
SHWLNDS,Shawlands Glasgow
WMWD,Williamwood
PRTHMDG,Porthmadog
FNSTNEJ,East Jn
MUROORD,Muir Of Ord
MAXWLPK,Maxwell Park Glasgow
PLKSHWW,Pollokshaws West
HEMERDN,Hemerdon
CRSMYLF,Crossmyloof Glasgow
MORLASJ,Morlais Jn
LNDW,Llandanwg
PLKSHWE,Pollokshaws East
EXHIBTC,Exhibition Centre Glasgow
EXHIBDS,Exhibition Centre Down Siding
CLRKSTN,Clarkston
LNSD,Langside Glasgow
PLKLHDW,Pollokshields West
SHLDSMD,Shields Tmd(E)
SHLDJN,Shields Jn
SHLDJTS,Shields Jn Through Sdgs
SUMRSTN,Summerston
MUIREND,Muirend Glasgow
BANGRCS,Bangor C.S.
BANGOR,Bangor (Gwynedd)
BANGRTC,Castle Cement
CULRAIN,Culrain
BANG37,Bangor Sig. Br37
MRHSSJ,Muirhouse South Jn
PSRN,Pensarn
GLGSLYE,Smithy Lye
MRHSCJ,Muirhouse Central Junction
GLGHSJN,High St Jn
LBDR,Llanbedr
GVNDCLP,Grovesend Colliery Loop Jn
PLKLHDE,Pollokshields East Glasgow
TERMJGW,Terminus Jn
INVRSHN,Invershin
CHAPLTN,Chapelton Devon
HENDYJ,Hendy Jn
QUNPARK,Queen'S Park (Strathclyde)
ANDRSTN,Anderston
MRHSNJ,Muirhouse North Junction
HRLC,Harlech
CHRNGXG,Charing Cross (Glasgow)
CADDER,Gilscholhill
LAMBH,Gilshochill
BUSBY,Busby
DYFRYNA,Dyffryn Ardudwy
TYWYN,Tywyn
CCRTWJN,Cathcart West Jn Sig C68
CCRT,Cathcart
MTFL,Mount Florida Glasgow
EGLNSTJ,Rto Charges Retail Hq
ABRYSHE,Shell(Aberystwth Oil Distrbtr)
ABRYSTH,Aberystwyth
CCRTNJN,Cathcart North Jn
LRKFLDJ,Larkfield Jn
TALB,Talybont
CROSSHL,Crosshill Glasgow
POSILPK,Possilpark & Parkhouse
GANTRYA,Glasgow Central Gantry A
TANKRD,Tank Road
PNTADLS,Pontarddulais
GLGC,Glasgow Central
GLGC227,Glasgow Central Sig G227
GLGCLL,Glasgow Central Low Level
THAL,Thorntonhall
LYNGRIL,Llwyngwril
CCRTEJN,Cathcart East Jn
ASFIELD,Ashfield
ARGYLST,Argyle Street Glasgow
GLGQHL,Glasgow Queen Street
GLGQLL,Glasgow Queen St L.L.
GOWERTN,Gowerton
KGPK,Kings Park Glasgow
OKHMPTN,Okehampton
CWLRSNJ,Cowlairs North Jn
LNAB,Llanaber Halt
CWLRSWJ,Cowlairs West Jn
CWLRSGL,Cowlairs West G.L.
CWLRC79,Cowlairs East Jn Sig C79
CWLRSPL,Cowlairs West P.L.
CWLRSEJ,Cowlairs East Jn
ARDGAYC,Ardgay C.E.
PLMDCMD,Wc Polmadie Flt Main Shed Ci
PLMDDHS,Polmadie Down Hs
PLMD755,Polmadie Signal G755
CWLRSSJ,Cowlairs South Jn
ARDGAY,Ardgay
LAIRGCE,Lairg C.E.
LAIRG,Lairg
LAIRGLC,Lairg L.C.
CWLRDPL,Cowlairs D.P.L.
TYGWYN,Tygwyn
GLGWWKS,Brml Glasgow
CFFT,Croftfoot
EFLDTMD,Breakdown/Recovery Eastfield
SPRNGBN,Springburn Glasgow
BRIDGTN,Bridgeton
ABDVY,Aberdovey
BNKJN,Bank Jn
HARMYRS,Hairmyres
UMBRLGH,Umberleigh
BLGRVE,Bellgrove Glasgow
SGHTHWJ,Sighthill West Jn
SGHTHE,Sighthill East Jn
BORTH,Borth
TLSRNAU,Talsarnau
BNHL,Barnhill Glasgow
DLMRNOK,Dalmarnock
BSHB,Bishopbriggs
BRMOUTH,Barmouth
RTHGNWJ,Rutnerglen West Jn
SHFD,Shawfield Jn
BRIDGYD,Glasgow Bridgeton Yard
PRHN,Penrhyndeudraeth
RTHGNWC,Rutherglen West Curve
RTHGNNJ,Rutherglen North Jn
RTHGLEN,Rutherglen
RTHGCE,P Way Depot Super.Rutherglen
CDDR,Cadder
RTHG873,Rutherglen Signal G873
RTHG849,Rutherglen Signal G849
RTHGNCJ,Rutherglen Central Jn
DUKEST,Duke Street Glasgow
FRBN,Fairbourne
ALXPD,Alexandra Parade Glasgow
LNDC,Llandecwyn
LLDYBIE,Llandybie
BLGR785,Bellgrove Sig Ys785
BLGR783,Bellgrove Sig Ys783
NWCMNCK,New Cumnock
HARMYRL,Hairmyres Loop
BRSDE,Burnside
PENHELG,Penhelig
NWCMUGL,New Cumnock Up Goods Loop
PNTYFYN,Pantyffynnon
AMMANFD,Ammanford
CLUNSIB,Clunes I.B.
COCKETW,Cockett West
MFAM,Morfa Mawddach
FFAIRFC,Ffairfach
PRTSMTA,Portsmouth Arms
LLNGYFL,Llangyfelach
LLDEILO,Llandeilo
EKILBRD,East Kilbride
GLOSTOY,Gloucester Old Yard
CNTY,Carntyne Glasgow
IVYBDGE,Ivybridge
KRKH,Kirkhill
RTHGNEJ,Rutherglen East Jn
SHTLSTN,Shettleston
SHTLPWY,Shettleston
SHTLTNL,Shettleston Loop
SHTLSCE,Nlc Not Required By Waj5
CLHY,Clachnaharry Signalbox
LENZIE,Lenzie
LNDORE,Landore
LADRTMD,.
SWANSLW,Swansea Loop West
SWANSEA,Swansea
CMBSLNG,Cambuslang
SWANSLE,Swansea Loop East
KNYMPTN,Kings Nympton
STEPPS,Stepps
GRSTFHH,Garston
NWTLSCL,Newton South Connecting Line
NWTL,Newton
NWTKSDG,Newton Turnback Siding
ROSEST,Rose Street Signalbox
GARROWH,Garrowhill
IVRNFD,Inverness Freight Depot
IVRNRSL,J G Russell
IVRNCSD,Carriage Sidings (Cm&Ee)
IVRN410,Inverness Signal I410
IVRNBC,Blue Circle
CARMYLE,Carmyle
IVRNCE,Ce Central Materials Depot
DLNSPDL,Dalnaspidal Timing Point
RUTHWEL,Ruthwell Signalbox
IVRNTMD,Cm&Ee Inverness T&Rsmd
SWANSED,Swansea Docks
ALNESS,Alness
LANFRFC,Llanfairfechan
MNTVRNN,Mt. Vernon
EGGESFD,Eggesford
ESHS,Easterhouse
SWANSBS,Swansea Burrows Sdgs
WSBG,Welshs Bridge Signalbox
WSBG,Welshs Bridge Signalbox
DALWHIN,Dalwhinnie
LLNSMLT,Llansamlet
IVRNTC,Inverness Marshalling Yard
BALISTN,Baillieston
FELNFRN,Felin Fran
BLANTYR,Blantyre
UDNGSTN,Uddingston
MILBRNJ,Millburn Jn
BLAE4GF,Blaenau Ffestiniog No 3 Gf
DOVYJN,Dovey Junction
BLAE2GF,Blaenau Ffestiniog No.2 Gf
BLAENAU,Blaenau Ffestiniog
LLGADOG,Llangadog
TRSFNYD,Trawsfynydd
BRGDDIE,Bargeddie
UDNGTNJ,Uddingston Jn
UDNGVPK,Blue Circle
HAMLSTL,Steele E G
HAMLTNW,Hamilton West
GTSR,Gartshore
GTSRDPL,Gartshore D.P.L.
GTSRUPL,Gartshore U.P.L.
ROMANBG,Roman Bridge
GRTCSHJ,Gartcosh Junction
LLWRDA,Llanwrda
PNMNFHH,Penmaenmawr Quarry (Fhh)
PNMNMWR,Penmaenmawr
PNMNWRQ,Arc (Western)
KRKWOOD,Kirkwood
TAINCE,Tain C.E.
PNMN4,Penmaenmawr Sig.Pr4
JERSMJN,Jersey Marine Junction North
DLNCRDH,Dalnacardoch Tmg Point
JERSMSS,Neath Abbey Wharf
HAMLTNC,Hamilton Central
LLDARCY,Bp Oil (Llandarcy)
GUNNIE,Gunnie Optg&Pte Sdgs
BLAIRHL,Blairhill Coatbridge
SKEWEN,Skewen
PNMN19,Penmaenmawr Sig.Pr19
GRNQNNJ,Garnqueen North Jn
ROGART,Rogart
LAPFORD,Lapford
GWCG,Gwaun-Cae-Gurwen (Opencast)
COATFLT,Coatbridge Container Base
CROY,Croy
GNFTGL,Greenfoot G.L.
NWTM,Newtonmore
GSHRSJN,Gartsherrie South Jn
COATDGL,Coatbridge D.G.L.
TAIN,Tain
SUNSJN,Sunnyside Jn
COATBDJ,Coatbridge Jn
COATBDC,Coatbridge Central
COATBDS,Coatbridge Sunnyside
COAT254,Coatbridge Signal M254
COAT250,Coatbridge Signal M250
COAT253,Coatbridge Signal M253
BLSHL,Bellshill
LGLNJN,Langloan Jn
KRKC,Kirkconnel
HAUGHDJ,Haughhead Jn
KRKCCE,Kirkconnel C.E.
BGLNBBP,Baglan Bay Bp Chemicals Ews
DLWYDLN,Dolwyddelan
BRITONF,Briton Ferry Yard
BRDHSTD,Braidhurst Down Loop
TOMATIN,Tomatin
CTSARTJ,Court Sart Junction
BRDHSTU,Braidhurst Up Loop
BRDHRST,Braidhurst
BUCFAST,Buckfastleigh
RSEHALJ,Rosehall Jn
WHIFLTN,Whifflet North Jn
PTLBGSD,Port Talbot Grange Sidings Bsc
MOSENDW,Mossend West Operating Jn
MCHYNLT,Machynlleth
WHIFLET,Whifflet
MOTHWRD,Motherwell Wrd
COATDYK,Coatdyke
WHIFLTS,Whifflet South Jn
MOSEDNY,Mossend Down Yard
MOSEUPY,Mossend Up Yard
BNHOUSE,Burnhouse
MOSENDS,Mossend South Operating Jn
BGLAN,Baglan
MOTHDCS,Motherwell Derby C.S.
MOTHTMD,Traction Maintenance Depot
MOTHUCE,Local Sorting Sidings
MOSENY,Mossend Shunt & Marshalling
WHIFLTL,Whifflet Loop
MOCHARD,Morchard Road
MRRYTNL,Merryton Loop
AIRBLES,Airbles
MOTHWCS,Motherwell Weighs Carr Sdg
MOTHRWL,Motherwell
MOTH408,Motherwell Sig M408
MOSENDN,Mossend North Operating Jn
MCHYNCS,Machynlleth Cs/Ce Sdgs
MOYY,Moy
MOSEURT,Mossend Euroterminal
NEATH,Neath
MRRYTON,Merryton
CWMGWRH,Cwmgwrach
NEATNBJ,Neath N & B Jn
DALZBSC,Nlc Not Required By Waf2
PNYPANT,Pont-Y-Pant
GRNFLDS,Greenfaulds
MOSENDE,Mossend East Operating Jn
KGUSSIE,Kingussie
KGUSCE,Ce Siding
PTLBTDK,Port Talbot Docks
IVRGRD,Invergordon
IVRGRCE,Invergordon C.E.
AIRDCS,Airdrie C.S.
AIRDRIE,Airdrie
SLOCHD,Slochd (Summit) Xng Loop
LLDVERY,Llandovery
LLDVNLC,Llandovery/Llanwrtyd Nskt Sig.
HOLYTWN,Holytown
CMBRNLD,Cumbernauld
CMBRDRS,Cumbernauld D.R.S.
CMBRABT,Abronhill Tunnel
COPLSTN,Copplestone
PTALBOT,Port Talbot
HOLYTNJ,Holytown Jn
CULDNMR,Culloden
LARKHAL,Larkhall
DRMGLCH,Drumgelloch
SHILDMT,Shieldmuir Royal Mail Terminal
CARFIN,Carfin
PTLBGBF,Port Talbot Grange Sdgs Gbrf
DEGANWY,Deganwy
CONWY,Conwy
MRGMYJN,Margam Yard Jn.
MRGMEJ,Margam East Jn
MGMS127,Signal Pt127
DUNANE,Dunblane
DUNADPL,Dunblane D.P.L.
DUNANCE,Dunblane C.E.
DUNANSB,Dunblane S.B.
MRGMAWE,Margam Abbey Works East
DOLGARG,Dolgarrog
YEOFORD,Yeoford
LUDO,Llandudno
BGOALAN,Bridge Of Allan
WISHAWC,Wishaw Central Branch Jn
TALYCFN,Tal-Y-Cafn
MRGMTC,Margam Heolkey-Y-Deliad
MRGMMJN,Margam Moors Junction
MRGMM,Margam Moors
STIRLNN,Stirling North
WISHAW,Wishaw
LAND70,Llandudno Jn Sig.Lj70
LAND69,Llandudno Jn Sig.Lj69
MRGMTMD,Lip
NWLNDLJ,Newlands Loop Junction
NWLNDSJ,Newlands Junction
BETSYCD,Betws-Y-Coed
LAND260,Llandudno Jn Sig.Lj260
PMAISE,Subsidiary Yard
STIRLNM,Stirling Middle
STIRLNG,Stirling
LANDTC,Freight Depot (Ews T.C.)
LANDUDJ,Llandudno Junction
STIRLSD,Stirling S & D Lines
GRNLNNG,Greenloaning Refuge Sidings
NLANRST,North Llanrwst
LNRWST,Llanrwst
TOTNES,Totnes
CYNGHRD,Cynghordy
GLNCNWY,Glan Conwy
CLELAND,Cleland
CLELACE,Ce Siding
CARRBDG,Carrbridge
FEARN,Fearn
GNHLUJN,Greenhill Upper Jn
GNHLDGL,Greenhill Upper D.G.L.
GNHLUCE,Greenhill Upper C.E.
PLEAN,Plean Jn
LAWJ,Law Jn
LAWJDPL,Law Jn D.P.L.
LAWJUCE,Law Jn Up C.E.
LAWJUPL,Law Jn U.P.L.
HTHFLDO,Heltor Ltd
MNRPWIS,Manor Powis Sigbx&Xng Loop
DAINTNT,Dainton Tunnel
DAINTNT,Dainton Tunnel
KNCRAIG,Kincraig
CREDITN,Crediton
CRLK,Carluke
SGRLOAF,Sugar Loaf
ONLLWYN,Ncb Onllwyn Washery
GNHL360,Signal Gj 360
SANQHAR,Sanquhar
ROUGHC,Coal Contractors Ltd
PYLE,Pyle
HRTW,Hartwood
DNROBIN,Dunrobin Castle
CBAY,Colwyn Bay
CRMRSWJ,Carmuirs West Jn
MAESTGW,Maesteg
MAESTER,Maesteg (Ewenny Road)
MAESTGF,Measteg Ground Frame
AVIEMRE,Aviemore
LARBERJ,Larbert Jn
MSRYDCL,Distillers Co (Yeast)
LARBDGL,Larbert North D.G.L.
STORMY,Stormy
LARBUGL,Larbert North U.G.L.
LARBCE,Ce Siding
KINBRAC,Kinbrace
ABRPGWM,Aberpergwm
CRMRSEJ,Carmuirs East Jn
AVIEMRS,Aviemore (Speyside)
NABT,Newton Abbot
BLARATH,Blair Atholl
CAMELON,Camelon
SHTT,Shotts
BRORA,Brora
BRORALC,Brora L.C.
BRORDLC,Dalchalm L.C.
NSTCYRE,Newton St Cyres
DMTHKWR,Kingswear
BRORACE,Brora C.E.
LLWRTYW,Llanwrtyd
FALKRKH,Falkirk High
FALKRKG,Falkirk Grahamston
PAIGNTN,Paignton
GOODCHS,Carriage Sidings
FORSNCE,Forsinard C.E.
LANARK,Lanark
TONDU,Tondu
MLPT,Ncb Mill Pit-Bryndu Opencast
GRNGMTJ,Grangemouth Ss
SARN,Sarn
BLFD,Blackford Refuge Sidings
KILDONN,Kildonan
TORRE,Torre
WLDMILL,Wildmill
TORQUAY,Torquay
BRGEDFS,Ford Motor
TREMANS,Tremains
THIL,Thornhill Signalbox
BRGEFGF,Bridgend Ford Sidings G.F.
BRGEND,Bridgend
CWLYBDG,Cowley Bridge Jn
EXETRSD,Exeter St Davids
EXETRFP,Exeter
EXETRRY,Br Marshalling Yard
BENHARJ,Benhar Jn
CWBRDSB,Cowbridge Road S.B.
BENHACE,Benhar Jn C.E.
EXETRST,Exeter St Thomas
FOLDBSJ,Fouldubs Junction
EXETERC,Exeter Central
EXETRCB,Exeter City Basin
GRNGFPA,Forth Port Authority
FAULDHS,Fauldhouse
STJAMSP,St James' Park
POLMUPN,Falkirk East Sig
POLMUPS,Falkirk East Relief
NAIRN,Nairn
GLNEGLS,Gleneagles
POLMONT,Polmont
LANARKJ,Lanark Jn
ABINCE,Abington C.E.
ABINDPL,Abington D.P.L.
ABINGTN,Abington
ABINUPL,Abington U.P.L.
EXMOTHJ,Exmouth Junction
LLGMMRW,Llangammarch
EXMOJCW,Exmouth Junction Ce Works
TREHRBT,Treherbert
BOATOFG,Boat Of Garten
TEINMTH,Teignmouth
POLSBDG,Polsloe Bridge
SYMNGTN,Lanark/Symington Interlink
GRNGMBP,Bp Chemicals
PTLCHRY,Pitlochry
ABGLELE,Abergele & Pensarn
BARH379,Barham Ground Sig C01379
CRSTDPL,Carstairs D.P.L.
YNYSWEN,Ynyswen
RSTR,Ravenstruther
AUCHTER,Auchterarder
CRST410,Carstairs Sig Mc410
LNGANPS,Longannet Power Station
CRST423,Carstairs Sig Mc423
CRSTRS,Carstairs
HLYW,Holywood Signalbox
CRSTUPL,Carstairs U.P.L.
CRSTMEE,Nlc Not Required By Waf2
GARTH,Garth Powys
CRSTCE,Ce East Carstairs Pwss
CRSTRSS,Carstairs South Jn
BREICH,Breich
CRSTRSE,Carstairs East Jn
GRNGMOT,Bp Oil Refinery
TOWRCOL,Ncb Tower Colliery
TREORCY,Treorchy
DIGBY,Digby And Sowton
PENCOED,Pencoed
BTHGATE,Bathgate
DAWLISH,Dawlish
PINHOE,Pinhoe
DWLEYLP,Dawley Loop
TOPSHAM,Topsham
BONSSJ,Bo'Ness
BONSDPL,Bo'Ness D.P.L.
BONSRPS,Bo'Ness Jn Exchange Sdg
BONSS,Bo'Ness
STBEES,St Bees
HELMSCE,Helmsdale C.E.
BONSSGF,Bo'Ness Gf
TONPNTR,Ton Pentre
WHITHVN,Whitehaven
DUMFRES,Dumfries
DUMFRSY,Subsidiary Yard
STRCROS,Starcross
CRCK,Corkickle
DAWLSHW,Dawlish Warren
PARTON,Parton
PARTNNJ,Parton North Junction
EXTON,Exton
HELMSDL,Helmsdale
LYMPSTC,Lympstone Commando
CRMNDNJ,Carmondean Jn
CRMN581,Carmondean Jn Sig En581
CRMN579,Carmondean Jn Sig En579
TALRDIG,Talerddig
YTRHOND,Ystrad Rhondda
NETHRTN,Nethertown
LYMPSTN,Lympstone Village
HNGT,Harrington
BEATSDL,Beattock Summit D.P.L.
WKNTNYD,Workington Main Marshalling
WKNT,Workington
WKNTDRL,Workington Up & Dn Recp Line
WKNTFLR,Workington Docks (Flr)
BEATCKS,Beattock Summit
LLWYNYP,Llwynypia
ADIEWEL,Addiewell
BEATSUL,Beattock Summit U.P.L.
TNYPNDY,Tonypandy
EXMOUTH,Exmouth
CILMERY,Cilmeri
ABDARE,Aberdare
BRYSTNS,Braystones
ALTNBRC,Altnabreac
ALTNCCE,Altnabreac Ce Siding
LNLTHGW,Linlithgow
WCAL994,West Calder Sig Ej994
WCALDER,West Calder
RHYL,Rhyl
LNLTUPL,Linlithgow U.P.L.
LNLTHCE,Linlithgow C.E.
CMBH,Cwmbach
SELAFLD,Sellafield
FLIMBY,Flimby
BUILTHR,Builth Road
PORH,Porth
DUNKELD,Dunkeld & Birnam
ABTHRCP,Aberthaw Reception Sdgs
ABTHWCC,Aberthaw Bris Chnl Cement Ews
ABCWM,Abercwmboi Sb
ABTHA13,Aberthaw Signal A13
ABTHPS,Aberthaw Power Station Ews
ABTHOSD,Aberthaw N.P.Oil Sdg
ABTHA39,Aberthaw Signal A13
CARSWS,Caersws
ABTH,Aberthaw
TIVILP,Tiverton Junction
TIVIPW,Tiverton Parkway
FERNHIL,Fernhill
LVNSTNN,Livingston North
PONYCLN,Pontyclun
SEASCAL,Seascale
MPRT,Maryport
FRTEVOT,Forteviot Level Crossing
TREHAFD,Trehafod
WHIMPLE,Whimple
MASH,Mountain Ash
SELAEWS,Sellafield (Dbc)
SELABNF,Sellafield (Bnf)
MISKIN,Miskin
MERTHYR,Merthyr Tydfil
STAN201,Stansted Airport Sig L1201
PNRHCBR,Penrhiwceiber
LVNSTNS,Livingston South
LLDODW,Llandrindod
PNTRBCH,Pentre-Bach
FORRES,Forres
UPHALL,Uphall
LLDODGF,Llandrindod Crossing Gf
DRIGG,Drigg
DRIGBNF,Drigg British Nuclear Fuels
PSTA,Prestatyn
RHOOSE,Rhoose (Cardiff Intl Airport)
PTYPRID,Pontypridd
TRDYRHW,Troed Y Rhiw
BEATDPL,Beattock D.P.L.
BEATCK,Beattock
BEATUPL,Beattock U.P.L.
BEATCE,Beattock Summit Down Sidings
MERTHRV,Merthyr Vale
FORRESL,Forres Loop
STOMSTN,Br Stormstown Loop
CRMBRND,Mod (Navy) Crombie
CWMBOC,Ncb Cwmbargoed Opencast
MURTHLY,Murthly
TREFRST,Trefforest
MDCLDRL,Midcalder Goods Loop
ABRCYNS,Abercynon
QUAKRSY,Quakers Yard
MDCLDRJ,Midcalder Junction
RGLS,Ravenglass
TALACRE,Talacre
CAWBRNJ,Cawburn Jn
CHTNJN,Charlestown Jn
BOOTLE,Bootle (Cumbria)
FENITON,Feniton
CWMBRGD,Cwmbargoed
SCSCLDR,Scotscalder
DNFRMLE,Dunfermline
WNCBROJ,Winchburgh Jn
PYBONT,Pen-Y-Bont
PTOFARC,Britcoal Point Of Ayr Colliery
ROSYTHD,Rosyth Dockyard
TRFRSTE,Trefforest Estate
KRKNWTN,Kirknewton
BARRY,Barry
STNY,Stanley (Perth)
RHYMNEY,Rhymney
NWTP,Newtown (Powys)
PERTHY,Perth Br Subsidiary Yard
PERTHCA,Perth Cafp
PERTH,Perth
PERTHHS,Perth Lip
PERTH3P,No3 Platform
PERTHSO,Perth South Timing Point
PERTHCS,Perth Wrcs
PERTHNC,Welding Man Perth & Asst
PERTHDL,Perth Down Loop
THURSO,Thurso
THURSOU,U.K.A.E.A.
BARRYIS,Barry Island
ERIGMOD,M O D (Army)
HILTONJ,Hilton Jn
ROSYTH,Rosyth
PNTLTYN,Pontlottyn
TNHLJN,Townhill Jn
TNHLDGL,Townhill D.G.L.
TNHLUGL,Townhill U.G.L.
TNHLJCE,Townhill C.E.
BARRYDK,Barry Docks
CANRDJ,Canterbury Road Junction
TAFFSWL,Taffs Well
NWBGDPL,Newbridge Jn D.P.L.
NWBG,Newbridge
PENZWAS,Penzance Washer
RICH398,Richmond Signal F398
IVRKYD,Inverkeithing Yard
IVRKTGL,Inverkeithing G.L.
IVRKTCE,Section Man Inv'Keith Conc
IVRKNJN,Inverkeithing North Jn
IVRKTNC,Inverkeithing North Curve
IVRKSJN,Inverkeithing South Jn
IVRKTHG,Inverkeithing
IVRKCJN,Inverkeithing Central Jn
SILCRFT,Silecroft
BHLP,Barnhill Signalbox
CADOXTN,Cadoxton
IVRKEJN,Inverkeithing East Jn
CRDFRBJ,Cardiff Radyr Branch Jn
IVRKUPL,Inverkeithing U.P.L.
LCKRBIE,Lockerbie
LCKRDPL,Lockerbie Down Loop
WMPHRAY,Wamphray G F
LCKRUPL,Lockerbie U.P.L.
DOLAU,Dolau
PNTL807,Pontlottyn Signal 2807
RADYR,Radyr
RADYQJB,Radyr Quarry Junction S.B.
CORYTON,Coryton
TIRPHIL,Tir-Phil
MOSTFLR,Mostyn Docks (Freightliner)
MOSTYN,Mostyn Docks
YSTRDMS,Ystrad Mynach South
NQNSFRY,North Queensferry
YSTRADM,Ystrad Mynach
YSTRDMN,Ystrad Mynach Signal Box
DLMYDPL,Dalmeny D.P.L.
DLMYJN,Signal Operating
DLMYCE,Ce Siding
DLMYUPL,Dalmeny U.P.L.
DLMY,Dalmeny
DANESCT,Danescourt
ASPTRIA,Aspatria
FRWATER,Fairwater
WHCH,Whitchurch (South Glamorgan)
LLBRDCH,Llanbradach
LLANDAF,Llandaf
ABER,Aber
WAUNGRN,Waungron Park <Fairwater>
ERGNCHP,Energlyn & Churchill Park
PENGAM,Pengam
ROSISLE,Burghead(Roseisle)
BARGSDG,Bargoed Viaduct Sidings
BARGOED,Bargoed
GLFCHFR,Gilfach Fargoed Halt
BRITHDR,Brithdir
RHIWBNA,Rhiwbina
HENGOED,Hengoed
DINASP,Dinas Powys
DINASR,Dinas (Mid Glamorgan)
MOSTN21,Mostyn Sig. Mn21
MOSTN15,Mostyn Sig. Mn15
MOSTSB,Mostyn Signal Box
GRGMASJ,Georgemas Junction
GRGMYLC,Hoy L.C.
GRGMACE,Georgemas Junction C.E.
CRPHLY,Caerphilly
BCHGRV,Birchgrove
EASTBRK,Eastbrook
LCKWTHJ,Leckwith North Jn
HONITON,Honiton
CWDN941,Cowdenbeath Sig Ec941
TYGLAS,Ty Glas
CWDNBTH,Cowdenbeath
NINIANP,Ninian Park
PENTCNJ,Penarth Curve North Jn
ALVES,Alves
CANTONS,Br Sidings
CANTTMD,Canton Traction Mtce Shed One
CANTNCS,Csd
CANTISK,D.C.A.
MLLM,Millom
PENACSJ,Penarth Curve South Jn
COGAN,Cogan
LLBSTRD,Llanbister Road
COGANJ,Cogan Jn
GNTN,Grangetown (South Glamorgan)
CURRIEH,Curriehill
STHGYLE,South Gyle
LTHH,Lisvane And Thornhill
CRDFW,Cardiff West
DGLROAD,Dingle Road
HEATHLL,Heath Low Level
CATHAYS,Cardiff Cathays
HEATHHL,Heath High Level
LLISHEN,Llanishen
HEATH22,Heath Jn Sig Gpl22
HEATHJ,Heath Jn
CARDRIV,Cardiff Riverside
CARDUGL,Cardiff Up Goods Loop
CRDFCEN,Cardiff Central
PENARTH,Penarth
CRDFE,Cardiff East
LCHGLLY,Lochgelly
DALGETY,Dalgety Bay
GREENRD,Green Road
ABDO,Aberdour
HLWLJN,Holywell Junction
CARDFBR,Cardiff Bay
ANNAN,Annan
TAUNCSD,Taunton Cider Co
NTNFTZN,Norton Fitzwarren
KRTLBDG,Kirtlebridge G F
WHAILES,Wester Hailes
BAROWYD,Barrow Terminal Complex
BAROWCS,Barrow-In-Furness C.S.
BAROW,Barrow-In-Furness
BAROWHS,Barrow Fitters
CARDCSS,Cardiff Docks Coastal Shipping
NBRG,Newburgh
BAROWEW,Barrow Ramsden Dock (Abp)
BAROWRD,Barrow Marine Terminal
PENGAMJ,Pengam Jn
PENGAMS,Pengam Sidings
CARDFTS,Br Cardiff Tidal Yard
PENGFLT,Cardiff Pengam Frtliner Depot
FOXFILD,Foxfield
LLGUNLO,Llangynllo
MACHENQ,Machen Quarries
LNGDYKJ,Long Dyke Jn
WKIRSD2,West Kirby No.2 Siding
WKIR592,West Kirby Sig.592
WKIR597,West Kirby Sig.597
WKIRBY,West Kirby
WKIRSD1,West Kirby No.1 Siding
KNGW,Kingsknowe
RUMNYRB,Rumney River Bridge Jn
BAROSHJ,Barrow Salthouse Junction
KRKP863,Signal Mc863
ASKAM,Askam
COATDRS,Coatbridge Drs
BKNHDS,Brockenhurst Down Siding
NWCRTHJ,Tanners Hill Junction
HOYLAKE,Hoylake
HOYLCHS,Carriage Sidings
CDND,Cardenden
HAYMRWJ,Haymarket West Jn
LENHUS6,Lenham Up Siding No 6
PSTH,Park South
ROOSE,Roose
DALTONJ,Dalton Junction
TAUNGDS,Br Marshalling Yard
SLATEFD,Slateford Edinburgh
MNRD,Manor Road
SLATFDJ,Slateford Jn
SLATFDD,Ace Edinburgh
RCKCLFH,Rockcliffe Hall
KRKP862,Cove Signal Mc862
KRKBYIF,Kirkby-In-Furness
GORGIEJ,Gorgie Junction
HAYMRCS,Haymarket Cs
WELSHPL,Welshpool
HAYMRCJ,Haymarket Central Jn
ELGINSB,Elgin Signal Box
ELGIN,Elgin
DALTON,Dalton
BISLND,Burntisland
BISLNDJ,Burntisland Jn
MELS,Meols
CRLORTJ,Craiglockhart Jn
GRETGRN,Gretna Green
