TIPLOC,Geography Description
PTBRGBR,Portbury Coal Terminal Gbr
PTBRGBF,Portbury Biomass Gbrf
PTBRLAS,Portbury Coal Terminal (Colas)
PTBRAUT,Portbury Automotive Tml (Flhh)
ASHJGAT,Bristol Ashton Gate
PARSNSJ,Parson Street Junction
BRSTMD,Plymouth Surplus
BRSTHLS,Bristol High Level Siding
BRSTSPU,Bristol Loco Spur
BRSTMJG,Bristol Marsh Jn Up Gf
MARSHJS,Marsh Jn Sidings
BRSTMJD,Bristol Marsh Jn Depot
BRSS175,Bath Goods Sig. B175
BRSTLBH,Bristol Barton Hill Dbc
BRSTBRT,Bristol Barton Hill Flinerhh
BRSS533,Bristol Tm Sig 533
STPLNAR,Narroways Hill Jn
BRSS356,Clifton Down Signal B356
AVON4,Avonmouth Signal Sa4
AVONNP2,Avonmouth National Pwr Silo 2
AVONCOL,Avonmouth Coal Silo (Colas)
AVONHAN,Avonmouth Hansons Siding
AVONWFH,Avonmouth West Warf (Fhh)
AVONGBR,Avonmouth West Wharf Gbrf
SVNSSIT,Severnside Sita
BRST586,Bristol Parkway Sig Bl6586
BRST602,Bristol Parkway Sig Bl6602
BRST579,Bristol Parkway Sig Bl6579
BRST052,Filton Sig Bl2052
BRST569,Bristol Parkway Sig Bl1569
HENBRY,Henbury West
PILNUGL,Up Pilning Loop
STKGIEP,Stoke Gifford Iep Depot
STKG589,Stoke Gifford Sig B589
STKGFHH,Stoke Gifford (Fhh)
BRSTPUS,Stoke Gifford Spur
BRST568,Yate Signal 6568
WHLA34,Whitland Sig W34
HAVRGBF,Haverfordwest Fd Gbrf
ROBSGBF,Robeston Sdgs Gbrf
CRST405,Carstairs Sig Mc405
CRST436,Carstairs Sig Mc436
FGDHGWK,Fishguard And Goodwick
BEATUPS,Beattock Up Sidings
COVELC,Cove Level Crossing
TONDGAR,Tondu Garw Loop
TONDLFL,Tondu Llynfi Goods Loop
THYMGBR,Thorney Mill Gbrf
BRGEFRS,Bridgend Ford Repair Sdgs
STORUGL,Stormy Up Goods Loop
STORDGL,Stormy Down Goods Loop
MRGKYRG,Margam Knuckle Yard (Colas)
PTLBCOL,Port Talbot Grange Sdg Col
PTLBFHH,Port Talbot Grange Sdgs Fhh
PTALBRG,Port Talbot Steel (Colas)
PTLBPFS,Port Talbot P Field Siding
PTLBPFR,Port Talbot P Field Rr Loop
PTALWE,Port Talbot West Jn
BRGE462,Port Talbot Sig 3462
PTALEA,Port Talbot East
BGLNRPT,Baglan Bay Rpt (Colas)
BGLNBC,Baglan Bay (Colas)
BRITFWJ,Briton Ferry West Jn
CRSTDS,Carstairs Ds
ONLLWFH,Onllwyn Washery Fhh
CRST422,Carstairs Sig Mc422
CRSTFHH,Carstairs Down Sdgs (Fhh)
SWANWRD,Swansea Iep Wash Road
SWANMRD,Swansea Iep Maintenance Rd
SWAN163,Swansea Pt3163 (Cl)
SWAN592,Swansea Pt7592 (Dm)
SWAN571,Swansea Pt7571 (Dm)
SWAN573,Swansea Pt7573 (Um)
NEATAGB,Neath Abbey Wharf
NEATABW,Neath Abbey Wharf
SWANBGB,Swansea Burrows Ss
SWANABP,Swansea Docks Abp Shipment
SWANNON,Abp(Non Shipment)
LLWRW2,Llanwrtyd Sig W2
GWCGFHH,Gwaun-Cae-Gurwen Ocast Fhh
LLWEGBF,Llanwern Exchange Gbrf
MORLSCL,Ncb Morlais Colliery
LLNLDJE,Llanelli Dock Jn East
ABTHTCR,Aberthaw Tarmac Colas Rail
ABTH440,Aberthaw Sig Cf3440
ABTH433,Aberthaw Sig Cf3433
ABTHCRL,Aberthaw Ps Colas Rail
ABTHRFH,Aberthaw Dn Rec Sdg Fhh
BARRICR,Barry Island Colas Rail
BARRB49,Barry Signal B49
BARRSMT,Barry Docks Samat Terminal
BARRDCG,Barry Docks Dow Chemicals
BARRDUN,Barry Docks Dunn Bros
CADOB9,Cadoxton Signal B9
LLTRSNT,Llantrisant
CANT641,Canton Signal C641
CANTGBR,Cardiff Canton Sidings Gbrf
CANTFLT,Canton Tmd (Fl)
CARD208,Cardiff Signal  7208
CARDBKY,Cardiff Brickyard Siding
CARD048,Cardiff Signal 7048
CARD328,Cardiff Signal 2328
CARD342,Cardiff Signal 2342
CARD305,Cardiff Sig 305
CARD036,Cardiff Signal 2036
LLANMAI,Maindy Bridge
HEATH33,Heath Jn Sig Gpl7433
YSTR420,Ystrad Mynach Sig Cf7420
BGEDSLJ,Bargoed Single Line Jn
RYMYNGF,Rhymney North Gf
RYMYSGF,Rhymney South Gf
RHYMSDS,Rhymney Sidings
CWMBOFH,Cwmbargoed Opencast Fhh
STOMJN,Stormstown Junction
ABRCJN,Abercynon Junction
ABRC187,Abercynon Signal A187
TREHSDS,Treherbert Sidings
CRDFGBF,Cardiff Castle Works (Gbrf)
PENGGBR,Pengam Reception Sdgs
CARDRP,Cardiff Tidal Rp Gbrf
CARDDRG,Cardiff Docks Rp Gbrf
CARDGBF,Cardiff Docks Greenergy Gb
CARDRYN,Ryan
CARDFTA,Cardiff Tidal (Dc)
WENTGBF,Wentloog Gbrf
CARDGBR,Cardiff Tidal Tc Gbrf
WENT602,Wentloog Sig C602
TRMRGBR,Tremorfa Works Sdgs (Gbrf)
MRLDJN,Moorland Road Junction
EBWVTN,Ebbw Vale
ABRBEG,Aberbeeg
PYECRNR,Pye Corner
ALXNLHS,Alexandra Dock Jn Yd Lhs
NWPT273,Newport Signal Nt1273
ALXNUDG,Alexandra Docks Udg
NWPTGBR,Newport Docks (Sims) Gbrf
CRAVE19,Craven Arms Signal Ca19
CRAVSDG,Craven Arms Up Sidings
CRAVE16,Craven Arms Signal Ca16
MRTNGBF,Moreton-On-Lugg Gbrf
HEREF41,Hereford Sig 41
ABRGS38,Abergavenny Sig 38
ABRGUS,Abergavenny Up Sidings
EUSKBDP,East Usk Branch Birdport
EUSKFHH,East Usk Yard (Fhh)
LWERMSS,Llanwern Mid Steel Supplies
LLWEAFL,Llanwern Corus Afl
LWERWJN,Llanwern West Jn
LWERNRG,Llanwern Rg (Colas)
SEVT228,Severn Tunnel Sig Nt1228
SEVT730,Severn Tunnel Sig Nt1730
SEVTUGL,Severn Tunnel Up Goods Loop
LYDNDGL,Lydney Down Goods Loop
LYDNUGL,Lydney Up Goods Loop
LYDN419,Lydney Signal 419
LYDN416,Lydney Signal 416
CORSHAM,Corsham
WTNBGF,Wootton Bassett Ground Frame
SDON212,Swindon Signal Sw1212
SDONSTO,Depot And Stores
SDONEMR,Swindon Emr Disposals
SDONSGB,Swindon Stores Gbrf
HAML218,Hamilton West Sig M218
BEDYNRS,Bedwyn Reversing Siding
NEWB867,Newbury Signal T2867
NEWB865,Newbury Signal T2865
NEWB844,Newbury Signal T6844
NEWB831,Newbury Signal T6831
HAUG419,Haughhead
